State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10
California,Alameda,2000,366,293,59,11,2,1,0,209,70,39,2,129,182,0,53,0
California,Amador,2000,366,238,83,34,11,0,0,192,112,44,15,0,351,0,0,0
California,Butte,2000,361,226,88,40,7,0,0,174,108,44,16,41,260,0,25,19
California,Calaveras,2000,364,245,71,34,14,0,0,200,115,38,29,0,311,0,23,1
California,Colusa,2000,365,306,54,5,0,0,0,105,61,36,0,0,280,0,30,55
California,Contra Costa,2000,366,249,93,23,1,0,0,172,89,43,0,40,208,9,108,1
California,Del Norte,2000,134,133,1,0,0,0,0,53,29,14,0,0,0,0,87,47
California,El Dorado,2000,366,184,107,44,29,2,0,208,136,50,0,22,330,0,14,0
California,Fresno,2000,366,50,121,89,88,18,0,227,183,112,2,24,230,0,109,1
California,Glenn,2000,366,284,76,6,0,0,0,126,67,40,0,0,328,0,0,38
California,Humboldt,2000,77,63,14,0,0,0,0,76,60,28,0,0,0,0,57,20
California,Imperial,2000,366,142,171,41,10,2,0,208,115,59,32,83,176,0,39,36
California,Inyo,2000,366,184,123,32,4,2,21,10736,126,50,0,0,284,0,3,79
California,Kern,2000,366,52,110,95,100,9,0,213,179,111,1,16,228,0,118,3
California,Kings,2000,364,143,99,77,43,2,0,205,159,70,0,59,254,0,36,15
California,Lake,2000,366,350,15,1,0,0,0,108,44,34,0,0,362,0,4,0
California,Lassen,2000,33,26,7,0,0,0,0,63,54,28,0,0,0,0,0,33
California,Los Angeles,2000,366,27,164,114,51,10,0,243,159,99,7,95,127,2,133,2
California,Madera,2000,362,217,98,40,7,0,0,177,108,45,0,72,290,0,0,0
California,Marin,2000,366,359,7,0,0,0,0,61,39,28,6,198,126,0,30,6
California,Mariposa,2000,362,199,93,58,12,0,0,187,126,48,0,0,358,0,1,3
California,Mendocino,2000,366,356,10,0,0,0,0,72,39,30,10,76,250,0,20,10
California,Merced,2000,363,157,99,68,36,3,0,207,151,58,0,15,308,0,36,4
California,Modoc,2000,74,62,10,2,0,0,0,107,59,25,0,0,0,0,46,28
California,Mono,2000,349,327,13,1,0,1,7,10362,31,11,77,0,0,0,13,259
California,Monterey,2000,366,339,24,3,0,0,0,129,47,36,0,17,326,0,15,8
California,Napa,2000,366,357,9,0,0,0,0,77,41,31,9,112,240,0,0,5
California,Nevada,2000,366,162,116,63,22,3,0,208,136,57,0,0,327,0,31,8
California,Orange,2000,366,110,200,36,19,1,0,205,127,62,2,74,97,0,191,2
California,Placer,2000,366,217,89,41,18,1,0,202,126,46,0,113,234,0,16,3
California,Plumas,2000,365,280,77,8,0,0,0,127,70,41,0,0,305,0,36,24
California,Riverside,2000,366,51,125,102,76,12,0,222,172,104,1,42,185,1,124,13
California,Sacramento,2000,366,166,128,42,29,1,0,203,143,55,8,21,214,0,121,2
California,San Benito,2000,364,276,66,22,0,0,0,147,87,40,0,0,360,0,3,1
California,San Bernardino,2000,366,49,150,75,74,18,0,246,179,95,0,94,208,0,57,7
California,San Diego,2000,366,73,196,81,15,1,0,201,133,74,0,49,205,3,109,0
California,San Francisco,2000,366,277,83,6,0,0,0,132,66,36,0,125,108,0,133,0
California,San Joaquin,2000,366,228,104,27,7,0,0,172,97,45,11,95,193,0,59,8
California,San Luis Obispo,2000,366,183,143,40,0,0,0,143,102,51,0,23,162,166,12,3
California,San Mateo,2000,366,334,27,5,0,0,0,129,48,33,5,180,119,0,60,2
California,Santa Barbara,2000,366,211,117,36,2,0,0,154,101,48,0,27,314,0,21,4
California,Santa Clara,2000,366,228,104,26,8,0,0,190,97,44,0,90,123,0,153,0
California,Santa Cruz,2000,366,342,23,1,0,0,0,126,46,36,0,9,330,0,22,5
California,Shasta,2000,366,245,95,25,1,0,0,154,93,44,0,0,354,0,12,0
California,Sierra,2000,29,29,0,0,0,0,0,36,30,17,0,0,0,0,0,29
California,Siskiyou,2000,310,292,17,1,0,0,0,101,49,36,0,0,267,0,21,22
California,Solano,2000,366,290,65,9,2,0,0,153,67,37,18,62,235,0,51,0
California,Sonoma,2000,366,324,35,7,0,0,0,122,54,37,0,58,263,0,43,2
California,Stanislaus,2000,366,196,111,42,16,1,0,202,122,49,9,74,208,0,63,12
California,Sutter,2000,366,241,93,28,4,0,0,166,100,43,19,47,266,0,23,11
California,Tehama,2000,320,218,70,30,2,0,0,156,101,40,0,0,305,0,0,15
California,Trinity,2000,81,81,0,0,0,0,0,46,28,13,0,0,0,0,22,59
California,Tulare,2000,366,127,79,75,81,4,0,203,177,85,2,36,269,0,56,3
California,Tuolumne,2000,363,184,98,61,20,0,0,197,133,49,6,0,357,0,0,0
California,Ventura,2000,366,147,135,58,25,1,0,203,143,59,0,54,270,0,41,1
California,Yolo,2000,366,273,71,20,2,0,0,159,84,40,1,53,274,0,35,3
California,Alameda,2001,365,290,57,12,6,0,0,178,68,40,1,127,178,0,59,0
California,Amador,2001,365,250,89,25,1,0,0,154,93,40,5,0,360,0,0,0
California,Butte,2001,365,152,162,43,8,0,0,159,111,56,0,4,257,0,103,1
California,Calaveras,2001,365,229,91,41,4,0,0,161,105,44,2,0,348,0,15,0
California,Colusa,2001,363,234,106,21,2,0,0,156,87,42,0,0,295,0,37,31
California,Contra Costa,2001,365,258,80,21,6,0,0,192,87,44,0,40,216,8,100,1
California,Del Norte,2001,125,125,0,0,0,0,0,50,33,14,0,0,0,0,89,36
California,El Dorado,2001,365,160,119,53,30,3,0,204,147,58,0,15,340,0,10,0
California,Fresno,2001,365,23,117,113,91,21,0,238,190,119,2,9,245,0,109,0
California,Glenn,2001,364,259,89,16,0,0,0,147,80,43,0,0,327,0,0,37
California,Humboldt,2001,323,303,20,0,0,0,0,94,45,6,0,0,0,0,48,275
California,Imperial,2001,365,103,191,52,15,3,1,543,126,65,45,45,219,0,24,32
California,Inyo,2001,365,155,138,32,6,2,32,20646,184,58,0,0,281,0,1,83
California,Kern,2001,365,35,126,101,90,13,0,210,177,108,0,22,225,0,111,7
California,Kings,2001,361,157,128,52,23,1,0,202,133,56,0,48,253,0,41,19
California,Lake,2001,365,344,21,0,0,0,0,84,47,37,0,0,362,0,3,0
California,Lassen,2001,40,35,5,0,0,0,0,76,55,29,0,0,0,0,0,40
California,Los Angeles,2001,365,20,159,127,48,11,0,230,161,101,2,71,146,2,143,1
California,Madera,2001,359,213,95,42,9,0,0,169,119,46,0,47,312,0,0,0
California,Marin,2001,365,350,15,0,0,0,0,84,42,30,2,176,148,0,38,1
California,Mariposa,2001,346,188,91,60,7,0,0,182,122,48,0,0,335,0,6,5
California,Mendocino,2001,365,354,10,1,0,0,0,108,43,31,1,53,285,0,17,9
California,Merced,2001,357,156,112,62,27,0,0,200,143,61,0,11,312,0,29,5
California,Modoc,2001,62,54,8,0,0,0,0,99,53,22,0,0,0,0,35,27
California,Mono,2001,359,251,88,16,2,1,1,4378,93,36,82,0,174,0,40,63
California,Monterey,2001,365,343,20,2,0,0,0,129,47,34,0,16,313,0,24,12
California,Napa,2001,365,350,14,1,0,0,0,126,44,31,3,114,240,0,0,8
California,Nevada,2001,365,165,130,50,19,1,0,201,129,54,0,0,339,0,23,3
California,Orange,2001,365,112,192,50,11,0,0,179,115,64,0,60,113,0,192,0
California,Placer,2001,365,216,88,37,23,1,0,202,133,46,0,84,264,0,17,0
California,Plumas,2001,365,281,73,10,1,0,0,152,70,35,0,0,170,0,100,95
California,Riverside,2001,365,38,126,99,77,24,1,500,187,110,0,35,174,0,149,7
California,Sacramento,2001,365,141,143,56,23,2,0,203,143,59,3,29,232,0,94,7
California,San Benito,2001,364,272,72,18,2,0,0,156,84,42,0,0,361,0,3,0
California,San Bernardino,2001,365,35,154,91,56,29,0,241,195,100,0,100,206,0,56,3
California,San Diego,2001,365,47,227,76,14,1,0,212,129,77,2,30,158,0,173,2
California,San Francisco,2001,365,291,61,10,3,0,0,162,63,36,3,120,122,0,118,2
California,San Joaquin,2001,365,246,95,19,5,0,0,166,87,44,2,81,196,0,62,24
California,San Luis Obispo,2001,365,171,151,41,2,0,0,167,103,54,0,15,186,150,10,4
California,San Mateo,2001,365,324,36,4,1,0,0,159,52,32,3,158,146,0,58,0
California,Santa Barbara,2001,365,219,108,36,1,1,0,201,101,48,0,9,343,0,11,2
California,Santa Clara,2001,365,221,117,15,12,0,0,177,90,46,0,70,156,0,139,0
California,Santa Cruz,2001,365,335,28,2,0,0,0,108,49,35,0,5,326,2,26,6
California,Shasta,2001,362,270,74,18,0,0,0,134,84,44,0,0,345,0,17,0
California,Siskiyou,2001,288,287,1,0,0,0,0,69,26,13,0,0,195,0,52,41
California,Solano,2001,365,304,50,8,3,0,0,169,64,37,10,62,243,0,49,1
California,Sonoma,2001,365,322,37,5,1,0,0,162,54,36,0,56,267,0,41,1
