Mon-Yr,county,price
Jan-1990,CA,194952
Feb-1990,CA,196273
Mar-1990,CA,194856
Apr-1990,CA,196111
May-1990,CA,195281
Jun-1990,CA,194410
Jul-1990,CA,193088
Aug-1990,CA,192180
Sep-1990,CA,189979
Oct-1990,CA,187630
Nov-1990,CA,192020
Dec-1990,CA,190375
Jan-1991,CA,192054
Feb-1991,CA,194806
Mar-1991,CA,202666
Apr-1991,CA,207718
May-1991,CA,211001
Jun-1991,CA,206722
Jul-1991,CA,206069
Aug-1991,CA,200340
Sep-1991,CA,197801
Oct-1991,CA,196021
Nov-1991,CA,194192
Dec-1991,CA,199452
Jan-1992,CA,196410
Feb-1992,CA,198220
Mar-1992,CA,200500
Apr-1992,CA,198700
May-1992,CA,203420
Jun-1992,CA,199460
Jul-1992,CA,199150
Aug-1992,CA,194670
Sep-1992,CA,195840
Oct-1992,CA,194000
Nov-1992,CA,189670
Dec-1992,CA,193330
Jan-1993,CA,191670
Feb-1993,CA,187440
Mar-1993,CA,189130
Apr-1993,CA,192600
May-1993,CA,188850
Jun-1993,CA,188650
Jul-1993,CA,190540
Aug-1993,CA,189010
Sep-1993,CA,186740
Oct-1993,CA,185920
Nov-1993,CA,184700
Dec-1993,CA,184980
Jan-1994,CA,183046
Feb-1994,CA,182258
Mar-1994,CA,185472
Apr-1994,CA,186968
May-1994,CA,185500
Jun-1994,CA,189680
Jul-1994,CA,188081
Aug-1994,CA,185790
Sep-1994,CA,185158
Oct-1994,CA,181862
Nov-1994,CA,180907
Dec-1994,CA,177421
Jan-1995,CA,177200
Feb-1995,CA,172974
Mar-1995,CA,175274
Apr-1995,CA,176768
May-1995,CA,176448
Jun-1995,CA,180649
Jul-1995,CA,180253
Aug-1995,CA,182467
Sep-1995,CA,180529
Oct-1995,CA,175861
Nov-1995,CA,176203
Dec-1995,CA,175372
Jan-1996,CA,174859
Feb-1996,CA,170860
Mar-1996,CA,175975
Apr-1996,CA,178536
May-1996,CA,179095
Jun-1996,CA,181191
Jul-1996,CA,182416
Aug-1996,CA,180825
Sep-1996,CA,179740
Oct-1996,CA,174454
Nov-1996,CA,175495
Dec-1996,CA,171940
Jan-1997,CA,175625
Feb-1997,CA,167790
Mar-1997,CA,177735
Apr-1997,CA,181218
May-1997,CA,185010
Jun-1997,CA,188801
Jul-1997,CA,190625
Aug-1997,CA,191856
Sep-1997,CA,191600
Oct-1997,CA,189283
Nov-1997,CA,190763
Dec-1997,CA,186555
Jan-1998,CA,188094
Feb-1998,CA,183898
Mar-1998,CA,193909
Apr-1998,CA,198252
May-1998,CA,202956
Jun-1998,CA,209003
Jul-1998,CA,210831
Aug-1998,CA,207780
Sep-1998,CA,202138
Oct-1998,CA,194961
Nov-1998,CA,197058
Dec-1998,CA,198121
Jan-1999,CA,202201
Feb-1999,CA,197870
Mar-1999,CA,212330
Apr-1999,CA,216490
May-1999,CA,220410
Jun-1999,CA,224678
Jul-1999,CA,220529
Aug-1999,CA,224195
Sep-1999,CA,218713
Oct-1999,CA,215822
Nov-1999,CA,218537
Dec-1999,CA,225264
Jan-2000,CA,226870
Feb-2000,CA,227155
Mar-2000,CA,233138
